t,accCmpX,accCmpY,accCmpZ
0,2.78901,-1.72064,-10.7949
1,3.20811,-3.62375,-11.1528
2,3.62079,-5.34499,-11.4047
3,4.10652,-6.651,-11.204
4,4.58374,-7.67396,-11.2253
5,2.93403,-8.92135,-11.1896
6,1.27493,-9.39665,-10.6133
7,0.518924,-1.96462,-6.9858
8,-0.249425,7.18935,-7.15979
9,-1.02362,8.28227,-10.1176
10,-3.67662,1.28361,-4.69539
11,-5.68014,-5.14441,-12.0645
12,-5.45891,-5.99244,-9.76993
13,-5.15411,-6.30845,-8.62033
14,-4.836,-6.43948,-7.58916
15,-0.220658,8.73586,-10.237
16,5.06282,-7.62565,-10.6726
17,4.94338,-8.28395,-10.3549
18,4.70375,-8.88044,-9.89357
19,4.46175,-9.20659,-9.49441
20,0.394217,-9.16402,-10.5534
21,-3.38941,-6.65241,-12.9561
22,-6.31163,0.872203,-17.9341
23,-7.16717,-0.515178,-10.5728
24,-7.11344,0.502671,-16.6358
25,-6.81526,-0.744957,-17.5
26,-6.25425,-3.76286,-12.1359
27,-7.1412,-0.710913,-12.829
28,-6.58241,2.93446,-11.6854
29,-4.64584,6.22781,-10.5081
30,-5.00037,5.73227,-12.1905
31,-5.74138,4.89772,-13.4098
32,-6.34559,3.88129,-13.6265
33,-6.79278,2.79696,-13.7592
34,-5.54546,5.25844,-4.52632
35,-3.49775,2.04849,-2.12018
36,-4.14381,-0.799155,-3.54121
37,-4.83931,-2.96829,-3.94098
38,-5.73311,-4.35764,-11.4956
39,-6.33135,1.40952,-16.9623
40,-6.79369,3.47358,-7.83922
41,-6.96853,-1.34284,-4.9009
42,-4.98002,-4.23898,-3.45113
43,-2.36097,-3.48267,-4.41389
44,1.05836,-1.02554,-7.24993
45,4.68467,2.16705,-10.8263
46,3.84383,-1.5262,-11.2594
47,2.88175,-4.73057,-10.2852
48,1.90561,-7.29777,-9.61338
49,-3.94074,-3.51578,-3.61455
50,-4.76483,-2.4725,-1.80347
51,-5.45728,-1.39646,-0.801665
52,-6.03982,-0.520658,-0.00896344
53,-5.55897,3.90672,-2.00854
54,-5.04197,5.91858,-9.15008
