t,accX,accY,accZ
0,2.8939500000000002,0.18639000000000003,-9.03501
1,2.8547100000000003,0.24525,-10.133730000000002
2,2.8547100000000003,0.24525,-10.133730000000002
3,2.8547100000000003,0.24525,-10.133730000000002
4,2.8547100000000003,0.24525,-10.133730000000002
5,2.8547100000000003,0.24525,-10.133730000000002
6,2.7566100000000002,0.0981,-9.84924
7,2.7566100000000002,0.0981,-9.84924
8,2.7566100000000002,0.0981,-9.84924
9,2.7566100000000002,0.0981,-9.84924
10,2.7566100000000002,0.0981,-9.84924
11,2.65851,0.26487,-8.652420000000001
12,2.65851,0.26487,-8.652420000000001
13,2.65851,0.26487,-8.652420000000001
14,2.65851,0.26487,-8.652420000000001
15,2.65851,0.26487,-8.652420000000001
16,2.62908,0.13734000000000002,-10.76157
17,2.62908,0.13734000000000002,-10.76157
18,2.62908,0.13734000000000002,-10.76157
19,2.62908,0.13734000000000002,-10.76157
20,2.62908,0.13734000000000002,-10.76157
21,2.46231,0.34335000000000004,-10.526130000000002
22,2.46231,0.34335000000000004,-10.526130000000002
23,2.46231,0.34335000000000004,-10.526130000000002
24,2.46231,0.34335000000000004,-10.526130000000002
25,2.46231,0.34335000000000004,-10.526130000000002
26,2.3151600000000006,0.24525,-10.16316
27,2.3151600000000006,0.24525,-10.16316
28,2.3151600000000006,0.24525,-10.16316
29,2.3151600000000006,0.24525,-10.16316
30,2.3151600000000006,0.24525,-10.16316
31,2.3151600000000006,0.24525,-10.16316
32,2.17782,0.18639000000000003,-10.23183
33,2.17782,0.18639000000000003,-10.23183
34,2.17782,0.18639000000000003,-10.23183
35,2.17782,0.18639000000000003,-10.23183
36,2.10915,0.07848000000000001,-7.67142
37,2.10915,0.07848000000000001,-7.67142
38,2.10915,0.07848000000000001,-7.67142
39,2.10915,0.07848000000000001,-7.67142
40,2.10915,0.07848000000000001,-7.67142
41,2.10915,0.07848000000000001,-7.67142
42,2.2661100000000003,-0.4316400000000001,-13.68495
43,2.2661100000000003,-0.4316400000000001,-13.68495
44,2.2661100000000003,-0.4316400000000001,-13.68495
45,2.2661100000000003,-0.4316400000000001,-13.68495
46,2.2661100000000003,-0.4316400000000001,-13.68495
47,1.8246600000000002,0.45126000000000005,-8.15211
48,1.8246600000000002,0.45126000000000005,-8.15211
49,1.8246600000000002,0.45126000000000005,-8.15211
50,1.8246600000000002,0.45126000000000005,-8.15211
51,1.8246600000000002,0.45126000000000005,-8.15211
52,1.9325700000000001,0.5493600000000001,-9.201780000000001
53,1.9325700000000001,0.5493600000000001,-9.201780000000001
54,1.9325700000000001,0.5493600000000001,-9.201780000000001
55,1.9325700000000001,0.5493600000000001,-9.201780000000001
56,1.8246600000000002,-0.21582000000000004,-9.70209
57,1.8246600000000002,-0.21582000000000004,-9.70209
58,1.8246600000000002,-0.21582000000000004,-9.70209
59,1.8246600000000002,-0.21582000000000004,-9.70209
60,1.8246600000000002,-0.21582000000000004,-9.70209
61,1.8246600000000002,-0.21582000000000004,-9.70209
62,1.7363700000000002,-0.18639000000000003,-9.633420000000001
63,1.7363700000000002,-0.18639000000000003,-9.633420000000001
64,1.74618,0.4905,-9.66285
65,1.74618,0.4905,-9.66285
66,1.79523,0.65727,-8.387550000000001
67,1.79523,0.65727,-8.387550000000001
68,1.79523,0.65727,-8.387550000000001
69,1.58922,0.26487,-8.02458
70,1.58922,0.26487,-8.02458
71,1.6382700000000001,0.6376499999999999,-7.867620000000001
72,1.6382700000000001,0.6376499999999999,-7.867620000000001
73,1.6382700000000001,0.6376499999999999,-7.867620000000001
74,1.5499800000000001,0.02943,-11.44827
75,1.5499800000000001,0.02943,-11.44827
76,1.5205500000000003,0.40221000000000007,-8.44641
77,1.5205500000000003,0.40221000000000007,-8.44641
78,1.0791000000000002,-0.16677,-9.60399
79,1.0791000000000002,-0.16677,-9.60399
80,0.89271,0.06867000000000001,-9.486270000000001
81,0.89271,0.06867000000000001,-9.486270000000001
82,0.89271,0.06867000000000001,-9.486270000000001
83,0.89271,0.06867000000000001,-9.486270000000001
84,0.6082200000000001,-0.04905,-7.18092
85,0.6082200000000001,-0.04905,-7.18092
86,0.35316000000000003,-0.02943,-9.28026
87,0.35316000000000003,-0.02943,-9.28026
88,0.36297,0.20601000000000003,-9.10368
89,0.36297,0.20601000000000003,-9.10368
90,0.23544,0.30411000000000005,-8.55432
91,0.23544,0.30411000000000005,-8.55432
92,0.1962,0.45126000000000005,-6.876810000000001
93,0.1962,0.45126000000000005,-6.876810000000001
94,0.1962,0.45126000000000005,-6.876810000000001
95,0.1962,0.45126000000000005,-6.876810000000001
96,0.24525,0.0,-8.20116
97,0.24525,0.0,-8.20116
98,0.06867000000000001,-0.04905,-8.348310000000001
99,0.06867000000000001,-0.04905,-8.348310000000001
100,0.039240000000000004,-0.12753,-7.40655
101,0.039240000000000004,-0.12753,-7.40655
102,-0.15696000000000002,-0.009810000000000001,-8.210970000000001
103,-0.15696000000000002,-0.009810000000000001,-8.210970000000001
104,-0.15696000000000002,-0.009810000000000001,-8.210970000000001
105,-0.2943,0.0,-9.770760000000001
106,-0.2943,0.0,-9.770760000000001
107,-0.21582000000000004,0.0,-8.99577
108,-0.21582000000000004,0.0,-8.99577
109,-0.21582000000000004,0.0,-8.99577
110,-0.37278000000000006,0.019620000000000002,-9.42741
111,-0.37278000000000006,0.019620000000000002,-9.42741
112,-0.37278000000000006,-0.15696000000000002,-9.201780000000001
113,-0.37278000000000006,-0.15696000000000002,-9.201780000000001
114,-0.44145000000000006,-0.08829000000000001,-8.318880000000002
115,-0.44145000000000006,-0.08829000000000001,-8.318880000000002
116,-0.52974,-0.25506,-9.751140000000001
117,-0.52974,-0.25506,-9.751140000000001
118,-0.52974,-0.25506,-9.751140000000001
119,-0.5199300000000001,0.009810000000000001,-9.584370000000002
120,-0.5199300000000001,0.009810000000000001,-9.584370000000002
121,-0.6278400000000001,0.15696000000000002,-8.887860000000002
122,-0.6278400000000001,0.15696000000000002,-8.887860000000002
123,-0.6278400000000001,0.15696000000000002,-8.887860000000002
124,-0.6278400000000001,0.30411000000000005,-10.143540000000002
125,-0.6278400000000001,0.30411000000000005,-10.143540000000002
126,-0.56898,-0.15696000000000002,-9.03501
127,-0.56898,-0.15696000000000002,-9.03501
128,-0.64746,-0.27468000000000004,-10.428030000000001
129,-0.64746,-0.27468000000000004,-10.428030000000001
130,-0.64746,-0.27468000000000004,-10.428030000000001
131,-0.6376499999999999,0.019620000000000002,-9.584370000000002
132,-0.6376499999999999,0.019620000000000002,-9.584370000000002
133,-0.6376499999999999,0.019620000000000002,-9.584370000000002
134,-0.69651,0.08829000000000001,-10.133730000000002
135,-0.69651,0.08829000000000001,-10.133730000000002
136,-0.6180300000000001,-0.0981,-9.74133
137,-0.6180300000000001,-0.0981,-9.74133
138,-0.66708,0.06867000000000001,-10.182780000000001
139,-0.66708,0.06867000000000001,-10.182780000000001
140,-0.66708,0.06867000000000001,-10.182780000000001
141,-0.5984100000000001,-0.12753,-9.437220000000002
142,-0.5984100000000001,-0.12753,-9.437220000000002
143,-0.67689,-0.12753,-9.94734
144,-0.67689,-0.12753,-9.94734
145,-0.69651,0.10791000000000002,-8.67204
146,-0.69651,0.10791000000000002,-8.67204
147,-0.69651,0.10791000000000002,-8.67204
148,-0.7455600000000001,0.04905,-10.241640000000002
149,-0.7455600000000001,0.04905,-10.241640000000002
150,-0.6082200000000001,-0.06867000000000001,-10.90872
151,-0.6082200000000001,-0.06867000000000001,-10.90872
152,-0.6082200000000001,-0.06867000000000001,-10.90872
153,-0.5493600000000001,-0.30411000000000005,-9.633420000000001
154,-0.5493600000000001,-0.30411000000000005,-9.633420000000001
155,-0.65727,-0.039240000000000004,-9.054630000000001
156,-0.65727,-0.039240000000000004,-9.054630000000001
157,-0.6180300000000001,0.1962,-9.260640000000002
158,-0.6180300000000001,0.1962,-9.260640000000002
159,-0.6180300000000001,0.1962,-9.260640000000002
160,-0.56898,0.05886,-9.917910000000001
161,-0.56898,0.05886,-9.917910000000001
162,-0.56898,0.05886,-9.917910000000001
163,-0.45126000000000005,-0.24525,-8.69166
164,-0.45126000000000005,-0.24525,-8.69166
165,-0.50031,-0.21582000000000004,-9.633420000000001
166,-0.50031,-0.21582000000000004,-9.633420000000001
167,-0.5787900000000001,0.0,-10.48689
168,-0.5787900000000001,0.0,-10.48689
169,-0.5787900000000001,0.0,-10.48689
170,-0.5984100000000001,0.15696000000000002,-9.339120000000001
171,-0.5984100000000001,0.15696000000000002,-9.339120000000001
172,-0.6180300000000001,0.11772,-10.23183
173,-0.6180300000000001,0.11772,-10.23183
174,-0.6180300000000001,0.17658000000000001,-9.98658
175,-0.6180300000000001,0.17658000000000001,-9.98658
176,-0.6180300000000001,0.17658000000000001,-9.98658
177,-0.5395500000000001,-0.009810000000000001,-11.09511
178,-0.5395500000000001,-0.009810000000000001,-11.09511
179,-0.56898,-0.06867000000000001,-9.67266
180,-0.56898,-0.06867000000000001,-9.67266
181,-0.56898,-0.06867000000000001,-9.67266
182,-0.5395500000000001,-0.17658000000000001,-10.310310000000001
183,-0.5395500000000001,-0.17658000000000001,-10.310310000000001
184,-0.52974,-0.18639000000000003,-9.98658
185,-0.52974,-0.18639000000000003,-9.98658
186,-0.4905,0.10791000000000002,-9.24102
187,-0.4905,0.10791000000000002,-9.24102
188,-0.22563000000000002,0.30411000000000005,-9.868860000000002
189,-0.22563000000000002,0.30411000000000005,-9.868860000000002
190,-0.22563000000000002,0.30411000000000005,-9.868860000000002
191,-0.22563000000000002,0.30411000000000005,-9.868860000000002
192,-0.24525,-0.019620000000000002,-10.192590000000001
193,-0.24525,-0.019620000000000002,-10.192590000000001
194,-0.34335000000000004,-0.039240000000000004,-10.055250000000001
195,-0.34335000000000004,-0.039240000000000004,-10.055250000000001
196,-0.46107000000000004,-0.16677,-10.54575
197,-0.46107000000000004,-0.16677,-10.54575
198,-0.41202000000000005,0.11772,-10.16316
199,-0.41202000000000005,0.11772,-10.16316
200,-0.41202000000000005,0.11772,-10.16316
201,-0.32373,0.11772,-10.006200000000002
202,-0.32373,0.11772,-10.006200000000002
203,-0.28449,0.30411000000000005,-10.27107
204,-0.28449,0.30411000000000005,-10.27107
205,-0.28449,-0.05886,-10.555560000000002
206,-0.28449,-0.05886,-10.555560000000002
207,-0.28449,-0.05886,-10.555560000000002
208,-0.42183000000000004,0.0981,-9.339120000000001
209,-0.42183000000000004,0.0981,-9.339120000000001
210,-0.3924,0.30411000000000005,-10.16316
211,-0.3924,0.30411000000000005,-10.16316
212,-0.3924,0.30411000000000005,-10.16316
213,-0.34335000000000004,0.0,-10.810620000000002
214,-0.34335000000000004,0.0,-10.810620000000002
215,-0.45126000000000005,0.0,-10.378980000000002
216,-0.45126000000000005,0.0,-10.378980000000002
217,-0.31392000000000003,-0.10791000000000002,-10.67328
218,-0.31392000000000003,-0.10791000000000002,-10.67328
219,-0.31392000000000003,-0.10791000000000002,-10.67328
220,-0.31392000000000003,-0.10791000000000002,-10.67328
221,-0.26487,0.42183000000000004,-10.53594
222,-0.34335000000000004,0.25506,-8.51508
223,-0.34335000000000004,0.25506,-8.51508
224,-0.40221000000000007,0.12753,-9.397980000000002
225,-0.40221000000000007,0.12753,-9.397980000000002
226,-0.40221000000000007,0.12753,-9.397980000000002
227,-0.32373,0.0,-9.70209
228,-0.32373,0.0,-9.70209
229,-0.32373,0.0,-9.70209
230,-0.33354,0.13734000000000002,-10.72233
231,-0.33354,0.13734000000000002,-10.72233
232,-0.15696000000000002,0.009810000000000001,-9.24102
233,-0.15696000000000002,0.009810000000000001,-9.24102
234,-0.2943,0.02943,-9.25083
235,-0.2943,0.02943,-9.25083
236,-0.23544,-0.17658000000000001,-10.320120000000001
237,-0.23544,-0.17658000000000001,-10.320120000000001
238,-0.23544,-0.17658000000000001,-10.320120000000001
239,-0.1962,-0.25506,-7.838190000000001
240,-0.1962,-0.25506,-7.838190000000001
241,-0.1962,-0.25506,-7.838190000000001
242,-0.1962,-0.25506,-7.838190000000001
243,-0.24525,-0.02943,-9.67266
244,-0.1962,0.2943,-10.92834
245,-0.1962,0.2943,-10.92834
246,-0.22563000000000002,0.37278000000000006,-11.409030000000001
247,-0.22563000000000002,0.37278000000000006,-11.409030000000001
248,-0.22563000000000002,0.37278000000000006,-11.409030000000001
249,-0.17658000000000001,-0.28449,-8.917290000000001
250,-0.17658000000000001,-0.28449,-8.917290000000001
