t,accCmpX,accCmpY,accCmpZ
0,2.60226,-1.7206,-8.74889
1,1.24627,-2.33638,-8.58358
2,-0.042039,-2.91775,-7.40692
3,-1.27836,-3.36864,-6.357
4,-2.44002,-3.65756,-5.46756
5,-3.50567,-3.76007,-4.76531
6,-5.16516,0.297846,-1.93219
7,-6.29285,2.34587,-2.56598
8,-6.92515,1.59166,-6.67378
9,-7.02755,-0.588122,-12.4343
10,-6.59466,-1.8153,-16.9923
11,-6.23848,0.146228,-17.5457
12,-5.64507,3.40389,-15.2895
13,-4.92589,6.28996,-10.5453
14,-4.09579,6.75461,-5.88474
15,-3.17081,3.86369,-3.46478
16,-1.08911,0.327853,-7.0442
17,1.2403,-3.93164,-9.50058
18,3.64536,-7.42238,-11.4041
19,5.98117,-8.84008,-11.5247
20,8.10958,-7.79257,-9.53486
21,6.16096,-7.00293,-12.7027
22,4.22976,-0.486732,-12.287
23,2.23191,7.17073,-10.3607
24,0.250912,9.88586,-10.6499
25,-1.63167,5.79043,-13.767
26,-2.07021,6.74901,-13.1072
27,-2.35828,7.55997,-12.6396
28,-2.64258,8.10371,-12.0061
29,-2.92277,8.36919,-11.2202
30,-3.19844,8.35659,-10.3034
31,-3.4692,8.07663,-9.28501
32,-3.68215,8.00375,-9.57157
33,-3.75614,7.97717,-9.79674
34,-3.82856,7.93822,-10.029
35,-3.89938,7.88715,-10.2676
36,0.946481,9.40715,-7.33678
37,6.19543,7.48182,-9.94989
38,10.2409,3.5207,-14.0042
39,11.9083,0.247199,-16.7891
40,10.7239,-0.251976,-16.2648
41,7.044,2.06017,-12.4696
42,2.83473,5.67752,-14.1294
43,-1.64653,7.63532,-11.9533
44,-5.28002,5.83561,-13.5441
45,-7.29298,1.57933,-17.6018
46,-7.26513,-1.93935,-20.9336
47,-6.99426,0.396725,-16.9703
48,-2.21742,-5.52253,-11.1589
49,4.42653,-8.93977,-7.8415
50,9.87202,-4.18082,-12.6925
51,11.5992,0.65927,-17.6175
52,8.55863,1.54675,-15.7646
53,0.299943,5.53646,-7.80286
54,-6.67398,4.40013,-4.25059
55,-7.11602,-3.17602,-7.54629
56,-6.72502,-3.60031,-15.7775
57,-6.11736,0.896618,-17.4945
58,-5.41166,5.88209,-12.5273
59,-4.61982,5.99229,-6.199
60,-3.75444,-0.0554607,-4.12409
61,-2.82835,-7.2745,-7.02115
62,1.08973,4.76271,-9.07551
63,5.14007,8.10083,-8.1549
64,8.8598,-2.75783,-3.42566
65,11.0958,-2.03107,-14.6026
66,11.0708,3.81952,-9.68766
67,7.34293,8.4391,-6.86936
68,1.44175,8.1751,-8.61443
69,2.55916,3.27518,-7.10191
70,3.89411,-2.06098,-5.78931
71,7.08816,-7.27736,-9.18494
72,9.62171,1.99298,-15.6222
73,11.1465,2.98639,-5.66231
74,8.65779,6.62249,-13.024
75,4.41272,7.33072,-13.2463
76,0.48824,10.1544,-8.41942
77,-3.21528,7.34894,-11.2328
78,-4.76224,7.44938,-11.1064
79,-5.76678,6.81803,-8.86035
80,-6.80703,6.08734,-10.5653
81,-7.53119,4.71841,-12.6892
82,-8.11317,3.18985,-14.8607
83,-8.54269,1.76098,-16.8116
84,-8.98558,1.16258,-14.9161
85,-9.10118,0.723825,-15.2801
86,-9.34481,1.44484,-9.99927
87,-9.3256,1.03999,-2.08376
88,-8.80854,0.985043,-0.164751
89,-5.82939,7.25836,-6.7795
90,2.52537,9.3706,-7.84255
91,9.21418,2.38404,-0.919703
92,9.95486,-0.476395,-3.181
93,8.20624,-5.0453,-8.80734
94,4.42975,-5.19451,-10.1369
95,-0.381925,-0.0644849,-6.29949
96,-1.04834,9.38087,-7.86039
97,-1.64962,4.43943,-9.88244
98,-7.33014,3.74072,-14.3311
99,-9.72621,0.33274,-15.3307
100,-8.11174,-2.33667,-14.8602
101,-3.18875,-0.638361,-10.6296
102,-2.01287,-2.19264,-10.0186
103,-0.603425,-3.84733,-8.62178
104,0.813772,-5.33065,-7.39711
105,3.92341,-7.99926,-7.96003
106,6.66749,-6.87125,-10.5215
107,9.23097,-1.72196,-16.1657
108,9.32324,-0.105522,-18.5247
109,7.00326,-4.77767,-14.0111
110,3.42587,-8.1344,-11.0712
111,-0.685773,-9.7073,-9.38799
112,-1.56461,-9.55237,-8.88872
