t,velX,velY,velZ,velAir,vel
0,0.260226,-0.17206,-0.874889,16.2189,7.49142
1,0.124627,-0.233638,-0.858358,15.787,7.48729
2,-0.0042039,-0.291775,-0.740692,15.532,7.48729
3,-0.127836,-0.336864,-0.6357,15.3316,7.48729
4,-0.244002,-0.365756,-0.546756,15.1823,7.48729
5,-0.350567,-0.376007,-0.476531,15.0783,7.48442
6,-0.516516,0.0297846,-0.193219,16.1077,7.48442
7,-0.629285,0.234587,-0.256598,16.3099,7.48442
8,-0.692515,0.159166,-0.667378,15.3788,7.48148
9,-0.702755,-0.0588122,-1.24343,14.1309,7.48148
10,-0.659466,-0.18153,-1.69923,13.5012,7.48148
11,-0.623848,0.0146228,-1.75457,13.9839,7.47923
12,-0.564507,0.340389,-1.52895,15.1288,7.47923
13,-0.492589,0.628996,-1.05453,16.549,7.47923
14,-0.409579,0.675461,-0.588474,17.3637,7.47636
15,-0.317081,0.386369,-0.346478,17.0185,7.47636
16,-0.108911,0.0327853,-0.70442,16.0124,7.47057
17,0.12403,-0.393164,-0.950058,15.391,7.47057
18,0.364536,-0.742238,-1.14041,15.2935,7.47057
19,0.598117,-0.884008,-1.15247,15.8286,7.47057
20,0.810958,-0.779257,-0.953486,16.8921,7.47057
21,0.616096,-0.700293,-1.27027,16.0086,7.47057
22,0.422976,-0.0486732,-1.2287,16.5355,7.4596
23,0.223191,0.717073,-1.03607,18.1626,7.4596
24,0.0250912,0.988586,-1.06499,18.6541,7.4596
25,-0.163167,0.579043,-1.3767,16.6494,7.4596
26,-0.207021,0.674901,-1.31072,16.9291,7.4596
27,-0.235828,0.755997,-1.26396,17.1884,7.4596
28,-0.264258,0.810371,-1.20061,17.3821,7.4596
29,-0.292277,0.836919,-1.12202,17.4994,7.44653
30,-0.319844,0.835659,-1.03034,17.5369,7.44653
31,-0.34692,0.807663,-0.928501,17.4987,7.44653
32,-0.368215,0.800375,-0.957157,17.4108,7.44653
33,-0.375614,0.797717,-0.979674,17.3673,7.44653
34,-0.382856,0.793822,-1.0029,17.3193,7.436
35,-0.389938,0.788715,-1.02676,17.267,7.436
36,0.0946481,0.940715,-0.733678,18.9437,7.436
37,0.619543,0.748182,-0.994989,19.2816,7.436
38,1.02409,0.35207,-1.40042,19.2065,7.436
39,1.19083,0.0247199,-1.67891,19.0064,7.436
40,1.07239,-0.0251976,-1.62648,18.4648,7.42308
41,0.7044,0.206017,-1.24696,17.9006,7.42308
42,0.283473,0.567752,-1.41294,17.5353,7.42308
43,-0.164653,0.763532,-1.19533,17.3968,7.42308
44,-0.528002,0.583561,-1.35441,16.0722,7.42308
45,-0.729298,0.157933,-1.76018,14.1919,7.42308
46,-0.726513,-0.193935,-2.09336,13.0878,7.42308
47,-0.699426,0.0396725,-1.69703,13.9718,7.41052
48,-0.221742,-0.552253,-1.11589,14.1453,7.41052
49,0.442653,-0.893977,-0.78415,15.7414,7.41052
50,0.987202,-0.418082,-1.26925,17.7359,7.41052
51,1.15992,0.065927,-1.76175,18.9106,7.41052
52,0.855863,0.154675,-1.57646,18.0508,7.40641
53,0.0299943,0.553646,-0.780286,17.5244,7.40641
54,-0.667398,0.440013,-0.425059,16.5259,7.40641
55,-0.711602,-0.317602,-0.754629,14.1624,7.40641
56,-0.672502,-0.360031,-1.57775,13.1969,7.40641
57,-0.611736,0.0896618,-1.74945,14.1984,7.40641
58,-0.541166,0.588209,-1.25273,16.1563,7.40728
59,-0.461982,0.599229,-0.6199,17.0047,7.40728
60,-0.375444,-0.00554607,-0.412409,15.8695,7.40728
61,-0.282835,-0.72745,-0.702115,14.285,7.40728
62,0.108973,0.476271,-0.907551,17.3283,7.40728
63,0.514007,0.810083,-0.81549,19.3637,7.40728
64,0.88598,-0.275783,-0.342566,18.6082,7.40685
65,1.10958,-0.203107,-1.46026,18.4118,7.40685
